WL1(mm),WL2(mm),WL3(mm),WL4 (mm),WL5 (mm),(delta)PD
53,208,87,36,44,-0.1
59,62,93,36,50,-0.1
60,61,93,36,56,-0.1
58,60,91,36,51,-0.1
57,61,91,36,48,-0.1
55,60,92,36,45,-0.2
57,59,91,36,44,-0.1
54,58,91,36,44,-0.1
54,60,91,36,44,-0.1
52,60,90,36,44,-0.1
54,61,90,36,44,-0.1
53,61,90,36,44,-0.1
54,60,90,36,44,-0.1
53,60,90,36,44,-0.1
55,59,88,36,44,-0.1
56,60,89,36,44,-0.1
51,59,88,36,44,-0.1
53,62,88,36,44,-0.1
59,64,92,36,44,-0.1
52,61,83,36,44,-0.2
53,60,80,36,44,-0.1
51,60,82,36,44,-0.1
51,63,83,36,44,-0.1
50,62,84,36,44,-0.1
51,61,83,36,44,-0.1
51,61,89,36,44,-0.1
54,63,92,36,44,-0.1
38,64,92,36,43,-0.2
38,63,93,36,43,-0.1
37,65,92,37,43,-0.1
37,64,92,37,43,-0.1
37,63,93,37,43,-0.1
37,63,91,36,43,-0.1
38,64,93,36,43,-0.1
38,67,92,36,43,-0.1
38,62,94,36,43,-0.1
38,65,94,36,43,-0.1
38,65,92,36,43,-0.1
38,66,93,36,43,-0.1
38,64,92,36,43,-0.1
39,70,114,36,45,-0.2
39,72,113,36,44,-0.1
39,71,111,36,44,-0.1
39,71,113,36,44,-0.1
38,70,114,36,44,-0.1
39,73,113,36,44,-0.1
38,75,111,36,44,-0.1
81,96,89,-6,113,-0.1
79,75,111,3,96,-0.7
64,69,96,14,71,-0.8
44,54,81,27,48,-0.7
39,49,65,32,43,-0.4
39,48,59,34,43,-0.4
39,47,52,35,43,-0.3
39,46,50,35,43,-0.2
39,46,49,35,43,-0.2
39,46,48,35,43,-0.2
39,45,46,35,43,-0.2
39,45,46,36,43,-0.1
39,45,46,36,43,-0.1
39,45,45,36,43,-0.1
39,45,46,36,43,-0.1
39,45,45,36,43,-0.1
39,45,49,36,43,-0.2
39,45,47,36,43,-0.1
39,45,46,36,43,-0.2
39,45,45,36,43,-0.1
39,45,45,36,43,-0.1
39,45,44,36,43,-0.1
39,45,44,36,43,-0.1
39,45,44,36,43,-0.2
39,44,43,36,43,-0.2
39,44,43,36,43,-0.1
39,44,43,36,43,-0.1
58,67,109,15,53,-0.8
38,51,76,29,44,-0.6
38,46,58,33,44,-0.4
38,45,50,34,44,-0.3
38,45,48,34,44,-0.3
38,45,46,35,44,-0.2
38,45,45,35,44,-0.2
38,45,44,35,44,-0.2
38,45,44,35,44,-0.1
37,44,44,35,44,-0.1
37,44,43,35,44,-0.2
37,44,43,35,44,-0.1
37,44,42,35,44,-0.1
37,44,42,35,44,-0.1
37,44,41,35,44,-0.1
37,44,41,35,44,-0.2
37,44,41,35,44,-0.1
37,44,41,35,44,-0.1
37,44,41,36,44,-0.1
37,43,40,36,43,-0.1
37,44,40,36,43,-0.1
37,44,40,36,43,-0.1
37,44,40,36,43,-0.1
37,44,40,36,43,-0.1
37,44,40,36,43,-0.1
37,44,40,36,43,-0.1
37,44,40,36,43,-0.1
37,44,40,36,43,-0.1
37,44,40,36,43,-0.1
37,44,40,36,43,-0.1
37,44,40,36,43,-0.1
37,43,40,36,43,-0.1
37,43,40,36,43,-0.1
37,43,40,36,43,-0.1
37,43,40,36,43,-0.1
37,43,40,36,43,-0.1
37,43,40,36,43,-0.1
37,43,40,36,43,-0.1
37,43,40,36,43,-0.1
37,43,40,36,43,-0.1
37,43,40,36,43,-0.1
37,43,40,36,43,-0.2
37,44,43,36,43,-0.1
37,44,42,36,43,-0.1
37,44,42,36,43,-0.2
37,44,41,36,43,-0.2
37,44,41,36,43,-0.1
37,44,40,36,43,-0.1
37,44,40,36,43,-0.1
37,44,40,36,43,-0.1
37,44,40,36,43,-0.1
37,44,40,36,43,-0.1
37,44,40,36,43,-0.1
37,44,40,36,43,-0.1
37,43,40,36,43,-0.1
37,43,40,36,43,-0.2
37,43,40,36,43,-0.2
37,43,40,36,43,-0.1
37,43,40,36,43,-0.1
37,43,40,36,43,-0.1
37,43,40,36,43,-0.1
37,43,40,36,43,-0.1
37,43,40,36,43,-0.1
37,43,40,36,43,-0.1
37,43,40,37,43,-0.2
37,43,40,37,43,-0.1
37,43,40,37,43,-0.1
37,43,40,36,43,-0.1
37,43,40,36,43,-0.1
37,43,40,37,43,-0.1
37,43,40,37,43,-0.1
37,43,40,37,43,-0.1
37,43,40,37,43,-0.1
37,43,40,37,43,-0.1
37,43,40,37,43,-0.1
37,43,42,37,43,-0.1
37,43,42,37,43,-0.1
37,43,42,37,43,-0.1
37,43,43,37,43,-0.1
37,43,43,37,43,-0.1
37,43,43,37,43,-0.1
37,43,43,37,43,-0.2
37,43,43,37,43,-0.1
37,43,43,37,43,-0.2
37,44,43,37,43,-0.1
37,44,43,37,43,-0.1
37,44,43,37,43,-0.1
37,44,43,37,43,-0.1
37,43,42,37,43,-0.1
37,43,42,37,43,-0.1
37,43,42,37,43,-0.1
37,43,42,37,43,-0.1
37,43,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,43,42,37,43,-0.2
37,43,42,37,43,-0.2
37,43,42,37,43,-0.1
37,43,42,37,43,-0.4
37,43,42,37,43,-0.1
37,43,42,37,43,-0.3
37,43,42,37,43,-0.3
37,43,42,37,43,-0.1
37,43,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,43,42,37,43,-0.1
37,43,42,37,43,-0.2
37,43,42,37,43,-0.2
37,43,42,37,43,-0.4
37,43,42,37,43,-0.4
37,43,42,37,43,-0.5
37,43,42,37,43,-0.6
37,43,42,37,43,-0.4
37,43,42,37,43,-0.2
37,44,42,37,43,-0.3
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,41,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,43,41,37,43,-0.1
90,45,48,36,43,-0.1
93,44,51,36,43,-0.1
92,44,47,37,43,-0.1
92,44,47,37,43,-0.1
93,44,45,37,43,-0.1
93,44,45,37,43,-0.1
92,44,48,37,43,-0.1
75,44,43,37,43,-0.2
75,44,42,36,43,-0.1
75,44,42,36,43,-0.1
74,44,42,36,43,-0.1
73,44,42,36,43,-0.1
71,44,42,36,43,-0.1
70,44,41,36,43,-0.1
69,44,41,36,43,-0.1
68,44,41,36,43,-0.1
69,44,41,36,43,-0.1
68,43,40,37,43,-0.1
51,43,40,37,43,-0.1
56,43,40,37,43,-0.1
56,43,39,37,43,-0.2
52,43,39,37,43,-0.1
51,43,39,36,43,-0.1
50,43,39,36,43,-0.1
48,43,39,36,44,-0.1
48,43,39,37,43,-0.1
47,43,39,37,43,-0.1
38,43,39,37,43,-0.3
38,43,39,37,43,-0.2
38,43,39,37,43,-0.1
38,43,40,37,43,-0.1
38,43,40,37,43,-0.1
38,43,40,37,43,-0.1
38,43,40,37,43,-0.1
38,43,40,37,43,-0.1
37,43,40,37,43,-0.1
37,43,40,37,43,-0.1
37,44,41,37,43,-0.1
54,65,57,36,44,-0.2
46,59,52,36,44,-0.1
42,57,47,36,44,-0.3
40,51,44,36,44,-0.2
58,67,51,34,44,-0.2
51,63,49,34,44,-0.1
53,64,48,34,44,-0.1
41,60,45,35,44,-0.1
40,58,45,35,44,-0.1
49,64,48,35,44,-0.1
52,64,47,34,45,-0.2
41,52,44,35,44,-0.4
41,47,42,35,44,-0.3
41,46,41,35,44,-0.3
41,45,41,35,44,-0.3
41,45,41,35,44,-0.1
41,45,41,35,44,-0.2
41,45,41,36,44,-0.1
41,45,41,36,44,-0.2
41,45,41,36,44,-0.1
41,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,44,40,36,44,-0.1
40,44,40,36,44,-0.1
40,44,40,36,44,-0.1
40,44,40,36,44,-0.1
40,44,40,36,44,-0.1
40,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,44,40,36,44,-0.1
40,44,40,36,44,-0.1
40,44,40,36,44,-0.1
40,44,40,36,44,-0.1
40,44,40,36,44,-0.1
40,44,40,36,44,-0.1
40,44,40,36,44,-0.1
40,44,39,36,44,-0.1
40,44,39,36,44,-0.1
40,44,39,36,44,-0.1
40,44,39,36,44,-0.1
40,44,39,36,44,-0.1
40,44,40,36,44,-0.1
40,44,40,36,44,-0.1
40,44,40,36,44,-0.1
40,44,40,36,44,-0.1
40,44,40,36,44,-0.1
40,44,40,36,44,-0.1
40,44,40,36,44,-0.1
40,43,39,36,44,-0.1
40,43,39,36,44,-0.1
40,43,39,36,44,-0.1
40,43,39,37,43,-0.1
40,43,39,37,43,-0.1
40,44,39,36,44,-0.1
40,44,39,36,44,-0.1
40,44,39,36,44,-0.1
40,43,39,36,44,-0.1
40,43,39,37,44,-0.1
40,43,39,37,44,-0.2
40,43,39,36,44,-0.1
40,43,39,36,44,-0.1
40,43,39,37,44,-0.1
40,43,39,37,43,-0.1
40,43,39,37,43,-0.1
40,43,39,36,43,-0.1
40,43,39,36,44,-0.1
40,43,39,36,44,-0.1
40,43,39,36,44,-0.1
40,43,39,36,44,-0.1
40,43,39,37,44,-0.1
40,43,39,37,44,-0.1
40,43,39,37,44,-0.2
40,43,39,37,43,-0.1
40,43,39,37,43,-0.1
40,43,39,37,44,-0.1
40,43,39,37,44,-0.1
40,43,39,36,44,-0.1
40,43,39,36,44,-0.1
40,43,39,36,44,-0.1
40,42,39,36,44,-0.1
40,42,39,36,44,-0.1
40,42,39,36,44,-0.1
40,42,39,36,44,-0.1
40,42,39,36,44,-0.1
59,67,51,29,54,-0.2
117,106,64,1,103,-0.3
86,75,52,8,91,-0.6
42,56,45,25,54,-0.3
40,54,45,26,48,-0.3
40,44,44,34,44,-0.1
40,44,44,34,44,-0.1
40,43,44,35,44,-0.3
40,43,43,35,44,-0.1
40,43,43,35,44,-0.1
40,43,43,35,44,-0.2
40,43,43,35,44,-0.1
40,42,43,35,44,-0.2
39,42,42,35,44,-0.2
39,42,42,35,44,-0.2
39,42,42,36,44,-0.1
39,42,42,36,44,-0.2
39,42,42,36,43,-0.1
39,42,42,36,43,-0.1
39,42,42,36,43,-0.1
39,42,42,36,43,-0.1
39,42,42,36,43,-0.1
39,42,42,36,43,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
40,42,42,36,44,-0.1
40,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,41,42,36,44,-0.1
39,41,41,36,43,-0.2
39,41,41,36,43,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,41,42,36,44,-0.2
39,41,41,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,41,41,36,44,-0.1
39,41,41,36,44,-0.1
39,41,41,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
