WL1(mm),WL2(mm),WL3(mm),WL4 (mm),WL5 (mm),Solar (W/m2),AirTemp (DegC),RH (%),y
53,208,87,36,44,0,21.9,97,-0.1
59,62,93,36,50,113,22.3,100,-0.1
60,61,93,36,56,152,22.8,100,-0.1
58,60,91,36,51,141,23.3,100,-0.1
57,61,91,36,48,123,23.6,99,-0.1
55,60,92,36,45,42,23.7,97,-0.2
57,59,91,36,44,0,23.1,100,-0.1
54,58,91,36,44,0,23,100,-0.1
54,60,91,36,44,0,22.9,100,-0.1
52,60,90,36,44,0,22.7,99,-0.1
54,61,90,36,44,0,22.4,100,-0.1
53,61,90,36,44,0,22.2,100,-0.1
54,60,90,36,44,44,22.8,100,-0.1
53,60,90,36,44,294,24.3,100,-0.1
55,59,88,36,44,39,24.6,95,-0.1
56,60,89,36,44,0,22.8,98,-0.1
51,59,88,36,44,0,21.3,100,-0.1
53,62,88,36,44,0,21.2,100,-0.1
59,64,92,36,44,31,21.7,100,-0.1
52,61,83,36,44,111,23.3,96,-0.2
53,60,80,36,44,56,23.2,86,-0.1
51,60,82,36,44,0,19.5,100,-0.1
51,63,83,36,44,625,23.6,91,-0.1
50,62,84,36,44,928,27.6,61,-0.1
51,61,83,36,44,850,28.9,55,-0.1
51,61,89,36,44,0,19.8,89,-0.1
54,63,92,36,44,336,20.8,91,-0.1
38,64,92,36,43,726,25.7,76,-0.2
38,63,93,36,43,663,26.7,68,-0.1
37,65,92,37,43,855,28,60,-0.1
37,64,92,37,43,565,28.1,57,-0.1
37,63,93,37,43,389,27.6,64,-0.1
37,63,91,36,43,125,27.2,71,-0.1
38,64,93,36,43,27,25.1,80,-0.1
38,67,92,36,43,0,20.9,94,-0.1
38,62,94,36,43,0,20,97,-0.1
38,65,94,36,43,0,19.7,100,-0.1
38,65,92,36,43,0,19.2,99,-0.1
38,66,93,36,43,0,18.8,100,-0.1
38,64,92,36,43,21,18.4,100,-0.1
39,70,114,36,45,107,20.4,100,-0.2
39,72,113,36,44,122,20.7,100,-0.1
39,71,111,36,44,74,21,100,-0.1
39,71,113,36,44,19,21,100,-0.1
38,70,114,36,44,0,20.2,100,-0.1
39,73,113,36,44,0,20.3,100,-0.1
38,75,111,36,44,0,20.4,100,-0.1
81,96,89,-6,113,6,20.2,100,-0.1
79,75,111,3,96,24,20.4,100,-0.7
64,69,96,14,71,165,21,100,-0.8
44,54,81,27,48,195,21.6,100,-0.7
39,49,65,32,43,251,22,100,-0.4
39,48,59,34,43,241,23.4,100,-0.4
39,47,52,35,43,142,23.8,100,-0.3
39,46,50,35,43,102,23.8,100,-0.2
39,46,49,35,43,31,23.3,100,-0.2
39,46,48,35,43,8,23.1,100,-0.2
39,45,46,35,43,0,22.7,100,-0.2
39,45,46,36,43,0,22.5,100,-0.1
39,45,46,36,43,0,22.5,100,-0.1
39,45,45,36,43,0,22.4,100,-0.1
39,45,46,36,43,0,22.2,100,-0.1
39,45,45,36,43,0,22.1,99,-0.1
39,45,49,36,43,0,21.9,100,-0.2
39,45,47,36,43,0,22,100,-0.1
39,45,46,36,43,0,22,100,-0.2
39,45,45,36,43,8,22,100,-0.1
39,45,45,36,43,21,22.3,100,-0.1
39,45,44,36,43,56,22.6,100,-0.1
39,45,44,36,43,63,23.2,100,-0.1
39,45,44,36,43,113,23.7,100,-0.2
39,44,43,36,43,119,24.5,100,-0.2
39,44,43,36,43,68,24.6,100,-0.1
39,44,43,36,43,13,24.6,100,-0.1
58,67,109,15,53,0,23.8,100,-0.8
38,51,76,29,44,0,23.7,100,-0.6
38,46,58,33,44,0,23.4,100,-0.4
38,45,50,34,44,0,23,100,-0.3
38,45,48,34,44,0,22.9,100,-0.3
38,45,46,35,44,0,22.8,99,-0.2
38,45,45,35,44,0,22.8,100,-0.2
38,45,44,35,44,0,22.8,100,-0.2
38,45,44,35,44,0,22.8,100,-0.1
37,44,44,35,44,0,22.8,100,-0.1
37,44,43,35,44,13,22.9,100,-0.2
37,44,43,35,44,51,23.4,100,-0.1
37,44,42,35,44,83,24,100,-0.1
37,44,42,35,44,196,24.7,100,-0.1
37,44,41,35,44,474,25.9,100,-0.1
37,44,41,35,44,615,27.4,95,-0.2
37,44,41,35,44,484,28.1,91,-0.1
37,44,41,35,44,366,28.5,87,-0.1
37,44,41,36,44,440,28.4,87,-0.1
37,43,40,36,43,390,28.5,84,-0.1
37,44,40,36,43,75,27.2,87,-0.1
37,44,40,36,43,15,25.8,94,-0.1
37,44,40,36,43,0,24.6,99,-0.1
37,44,40,36,43,0,23.5,100,-0.1
37,44,40,36,43,0,23.1,100,-0.1
37,44,40,36,43,0,22.8,100,-0.1
37,44,40,36,43,0,22.7,100,-0.1
37,44,40,36,43,0,22.1,100,-0.1
37,44,40,36,43,0,22,100,-0.1
37,44,40,36,43,0,21.7,100,-0.1
37,44,40,36,43,0,21.9,100,-0.1
37,43,40,36,43,130,23.9,100,-0.1
37,43,40,36,43,116,25.1,100,-0.1
37,43,40,36,43,188,26.5,96,-0.1
37,43,40,36,43,341,27.1,95,-0.1
37,43,40,36,43,281,28.8,87,-0.1
37,43,40,36,43,282,28.9,87,-0.1
37,43,40,36,43,214,28.9,86,-0.1
37,43,40,36,43,98,28.3,81,-0.1
37,43,40,36,43,5,27,85,-0.1
37,43,40,36,43,0,26.1,91,-0.1
37,43,40,36,43,0,25,99,-0.2
37,44,43,36,43,94,25.7,99,-0.1
37,44,42,36,43,76,26,89,-0.1
37,44,42,36,43,153,26.2,88,-0.2
37,44,41,36,43,37,25.8,88,-0.2
37,44,41,36,43,0,25.2,90,-0.1
37,44,40,36,43,0,23.7,96,-0.1
37,44,40,36,43,0,23,99,-0.1
37,44,40,36,43,0,22.5,99,-0.1
37,44,40,36,43,0,21.8,100,-0.1
37,44,40,36,43,0,21.1,100,-0.1
37,44,40,36,43,0,21.3,100,-0.1
37,44,40,36,43,65,22,100,-0.1
37,43,40,36,43,326,24.5,99,-0.1
37,43,40,36,43,535,27.5,84,-0.2
37,43,40,36,43,397,28.4,77,-0.2
37,43,40,36,43,114,27.4,85,-0.1
37,43,40,36,43,0,24.4,99,-0.1
37,43,40,36,43,0,23.8,100,-0.1
37,43,40,36,43,0,23.6,100,-0.1
37,43,40,36,43,0,23.1,100,-0.1
37,43,40,36,43,72,23.4,100,-0.1
37,43,40,36,43,275,27.3,90,-0.1
37,43,40,37,43,419,29.4,83,-0.2
37,43,40,37,43,113,28.5,86,-0.1
37,43,40,37,43,0,25.4,100,-0.1
37,43,40,36,43,0,24.3,100,-0.1
37,43,40,36,43,0,23.7,100,-0.1
37,43,40,37,43,324,26.4,98,-0.1
37,43,40,37,43,640,28.4,82,-0.1
37,43,40,37,43,412,28.4,77,-0.1
37,43,40,37,43,383,28.3,77,-0.1
37,43,40,37,43,525,28.9,74,-0.1
37,43,40,37,43,471,29.3,70,-0.1
37,43,42,37,43,12,26.3,86,-0.1
37,43,42,37,43,0,23.5,99,-0.1
37,43,42,37,43,0,22.9,99,-0.1
37,43,43,37,43,0,22.4,100,-0.1
37,43,43,37,43,455,25.6,98,-0.1
37,43,43,37,43,360,27.8,85,-0.1
37,43,43,37,43,309,28.6,81,-0.2
37,43,43,37,43,198,28.4,83,-0.1
37,43,43,37,43,501,29.1,82,-0.2
37,44,43,37,43,100,20.6,95,-0.1
37,44,43,37,43,106,20.1,93,-0.1
37,44,43,37,43,0,19.2,93,-0.1
37,44,43,37,43,393,22.3,86,-0.1
37,43,42,37,43,778,25.1,70,-0.1
37,43,42,37,43,847,25.8,69,-0.1
37,43,42,37,43,667,26.2,67,-0.1
37,43,42,37,43,342,27.5,61,-0.1
37,43,42,37,43,58,25.9,67,-0.1
37,44,42,37,43,11,23.3,82,-0.1
37,44,42,37,43,0,18.6,98,-0.1
37,44,42,37,43,0,17.5,100,-0.1
37,44,42,37,43,0,16.5,99,-0.1
37,44,42,37,43,0,15.8,100,-0.1
37,44,42,37,43,0,15.4,100,-0.1
37,43,42,37,43,578,23.6,83,-0.2
37,43,42,37,43,717,25.5,70,-0.2
37,43,42,37,43,800,26.4,66,-0.1
37,43,42,37,43,826,27.3,66,-0.4
37,43,42,37,43,812,28.4,65,-0.1
37,43,42,37,43,679,29.1,64,-0.3
37,43,42,37,43,470,29.3,63,-0.3
37,43,42,37,43,203,27.8,68,-0.1
37,43,42,37,43,51,25.9,74,-0.1
37,44,42,37,43,7,24.5,76,-0.1
37,44,42,37,43,0,22.7,86,-0.1
37,44,42,37,43,0,21.9,93,-0.1
37,44,42,37,43,0,21.8,95,-0.1
37,44,42,37,43,0,21.6,97,-0.1
37,44,42,37,43,0,21.2,98,-0.1
37,44,42,37,43,0,20.6,100,-0.1
37,44,42,37,43,0,20.1,100,-0.1
37,44,42,37,43,0,20.1,100,-0.1
37,44,42,37,43,0,20.2,100,-0.1
37,44,42,37,43,13,20.8,100,-0.1
37,44,42,37,43,113,21.8,100,-0.1
37,43,42,37,43,331,25,93,-0.1
37,43,42,37,43,430,26.9,82,-0.2
37,43,42,37,43,320,26.4,80,-0.2
37,43,42,37,43,517,27.1,79,-0.4
37,43,42,37,43,522,27.6,77,-0.4
37,43,42,37,43,734,28.8,71,-0.5
37,43,42,37,43,204,28.1,73,-0.6
37,43,42,37,43,85,27.4,75,-0.4
37,43,42,37,43,5,25.8,82,-0.2
37,44,42,37,43,0,24.4,88,-0.3
37,44,42,37,43,0,24,89,-0.1
37,44,42,37,43,0,23.7,91,-0.1
37,44,41,37,43,0,23.5,92,-0.1
37,44,42,37,43,0,23.1,95,-0.1
37,44,42,37,43,0,22.1,100,-0.1
37,44,42,37,43,0,21.6,100,-0.1
37,44,42,37,43,0,20.4,97,-0.1
37,44,42,37,43,125,19.9,100,-0.1
37,43,41,37,43,459,23.9,79,-0.1
90,45,48,36,43,0,15.5,100,-0.1
93,44,51,36,43,0,15,100,-0.1
92,44,47,37,43,578,23.5,67,-0.1
92,44,47,37,43,720,25.2,62,-0.1
93,44,45,37,43,833,26.5,57,-0.1
93,44,45,37,43,687,27.4,56,-0.1
92,44,48,37,43,6,22.2,76,-0.1
75,44,43,37,43,0,19.4,87,-0.2
75,44,42,36,43,0,18.1,91,-0.1
75,44,42,36,43,0,17.1,95,-0.1
74,44,42,36,43,0,16.3,96,-0.1
73,44,42,36,43,0,15.8,98,-0.1
71,44,42,36,43,0,15.3,99,-0.1
70,44,41,36,43,0,14.9,99,-0.1
69,44,41,36,43,0,14.6,100,-0.1
68,44,41,36,43,0,15.2,100,-0.1
69,44,41,36,43,76,16,100,-0.1
68,43,40,37,43,658,23.8,73,-0.1
51,43,40,37,43,836,28.7,50,-0.1
56,43,40,37,43,559,23.8,62,-0.1
56,43,39,37,43,698,25.1,56,-0.2
52,43,39,37,43,0,17.7,77,-0.1
51,43,39,36,43,0,15.6,93,-0.1
50,43,39,36,43,0,14,99,-0.1
48,43,39,36,44,0,12.7,100,-0.1
48,43,39,37,43,521,19.7,100,-0.1
47,43,39,37,43,779,23,91,-0.1
38,43,39,37,43,606,24.1,59,-0.3
38,43,39,37,43,430,24.1,62,-0.2
38,43,39,37,43,311,24.1,63,-0.1
38,43,40,37,43,44,22.5,63,-0.1
38,43,40,37,43,4,21.6,64,-0.1
38,43,40,37,43,0,20.8,65,-0.1
38,43,40,37,43,0,18.8,72,-0.1
38,43,40,37,43,0,18.5,77,-0.1
37,43,40,37,43,0,19.2,78,-0.1
37,43,40,37,43,0,18.1,76,-0.1
37,44,41,37,43,92,18.2,100,-0.1
54,65,57,36,44,0,16.5,100,-0.2
46,59,52,36,44,0,16.6,100,-0.1
42,57,47,36,44,0,16.7,100,-0.3
40,51,44,36,44,0,16.6,100,-0.2
58,67,51,34,44,25,16.7,100,-0.2
51,63,49,34,44,62,16.9,100,-0.1
53,64,48,34,44,92,17.2,100,-0.1
41,60,45,35,44,68,17.4,100,-0.1
40,58,45,35,44,50,17.5,100,-0.1
49,64,48,35,44,12,17,100,-0.1
52,64,47,34,45,0,16.4,100,-0.2
41,52,44,35,44,0,17.3,100,-0.4
41,47,42,35,44,0,18.5,99,-0.3
41,46,41,35,44,0,19.5,94,-0.3
41,45,41,35,44,0,19.8,84,-0.3
41,45,41,35,44,0,19.7,80,-0.1
41,45,41,35,44,0,19.6,79,-0.2
41,45,41,36,44,0,18.9,77,-0.1
41,45,41,36,44,0,17.3,80,-0.2
41,45,41,36,44,0,16.6,98,-0.1
41,45,40,36,44,10,16.5,99,-0.1
40,45,40,36,44,69,17.2,100,-0.1
40,45,40,36,44,142,18.3,100,-0.1
40,45,40,36,44,133,19,99,-0.1
40,45,40,36,44,201,19,94,-0.1
40,45,40,36,44,101,18.6,96,-0.1
40,45,40,36,44,87,18.5,98,-0.1
40,45,40,36,44,25,18.7,96,-0.1
40,45,40,36,44,3,18.5,96,-0.1
40,45,40,36,44,0,18,100,-0.1
40,45,40,36,44,0,17.1,100,-0.1
40,45,40,36,44,0,16.9,100,-0.1
40,45,40,36,44,0,16.7,100,-0.1
40,45,40,36,44,0,16.1,100,-0.1
40,45,40,36,44,0,15.7,100,-0.1
40,45,40,36,44,8,15.1,100,-0.1
40,45,40,36,44,336,16.3,100,-0.1
40,45,40,36,44,586,18.7,100,-0.1
40,45,40,36,44,699,20.7,94,-0.1
40,44,40,36,44,828,23.4,70,-0.1
40,44,40,36,44,786,24.3,62,-0.1
40,44,40,36,44,389,24.4,53,-0.1
40,44,40,36,44,244,24.1,51,-0.1
40,44,40,36,44,76,21.5,56,-0.1
40,45,40,36,44,0,16.1,83,-0.1
40,45,40,36,44,0,15,91,-0.1
40,44,40,36,44,0,14.1,95,-0.1
40,44,40,36,44,0,12.8,99,-0.1
40,44,40,36,44,0,12.4,100,-0.1
40,44,40,36,44,0,11.6,99,-0.1
40,44,40,36,44,0,11.1,100,-0.1
40,44,40,36,44,0,10.9,100,-0.1
40,44,40,36,44,30,10.8,100,-0.1
40,44,39,36,44,472,19,100,-0.1
40,44,39,36,44,634,21.4,91,-0.1
40,44,39,36,44,700,22.6,76,-0.1
40,44,39,36,44,461,23.6,665,-0.1
40,44,39,36,44,300,23.3,59,-0.1
40,44,39,36,44,165,22.9,59,-0.1
40,44,40,36,44,3,19,80,-0.1
40,44,40,36,44,0,16.7,93,-0.1
40,44,40,36,44,0,15.8,97,-0.1
40,44,40,36,44,0,15.1,99,-0.1
40,44,40,36,44,0,14.4,100,-0.1
40,44,40,36,44,0,14.6,100,-0.1
40,44,40,36,44,20,14.3,100,-0.1
40,43,39,36,44,529,22.9,97,-0.1
40,43,39,36,44,363,24.7,82,-0.1
40,43,39,36,44,351,26.1,69,-0.1
40,43,39,37,43,416,27,96,-0.1
40,43,39,37,43,16,23.9,68,-0.1
40,44,39,36,44,0,19.4,94,-0.1
40,44,39,36,44,0,17.6,100,-0.1
40,44,39,36,44,0,17.9,100,-0.1
40,43,39,36,44,108,23.1,92,-0.1
40,43,39,37,44,254,25.1,72,-0.1
40,43,39,37,44,36,24.2,82,-0.2
40,43,39,36,44,0,22,100,-0.1
40,43,39,36,44,2,21.4,100,-0.1
40,43,39,37,44,98,24.8,100,-0.1
40,43,39,37,43,315,28.8,71,-0.1
40,43,39,37,43,226,27.6,76,-0.1
40,43,39,36,43,0,23,91,-0.1
40,43,39,36,44,0,21.8,95,-0.1
40,43,39,36,44,0,21,100,-0.1
40,43,39,36,44,0,20.7,100,-0.1
40,43,39,36,44,2,20.2,100,-0.1
40,43,39,37,44,78,23.7,98,-0.1
40,43,39,37,44,108,25.9,81,-0.1
40,43,39,37,44,229,25.7,88,-0.2
40,43,39,37,43,269,26.9,90,-0.1
40,43,39,37,43,70,26.2,78,-0.1
40,43,39,37,44,0,23.1,98,-0.1
40,43,39,37,44,0,22.3,99,-0.1
40,43,39,36,44,0,22.1,100,-0.1
40,43,39,36,44,0,21.7,100,-0.1
40,43,39,36,44,3,21.1,100,-0.1
40,42,39,36,44,0,20.7,100,-0.1
40,42,39,36,44,0,20.1,100,-0.1
40,42,39,36,44,0,19.9,100,-0.1
40,42,39,36,44,0,19.8,100,-0.1
40,42,39,36,44,0,19.8,100,-0.1
59,67,51,29,54,4,21,100,-0.2
117,106,64,1,103,0,21.4,100,-0.3
86,75,52,8,91,0,21.9,100,-0.6
42,56,45,25,54,0,22.8,100,-0.3
40,54,45,26,48,0,22.6,100,-0.3
40,44,44,34,44,0,23,100,-0.1
40,44,44,34,44,0,22.9,100,-0.1
40,43,44,35,44,0,23.3,100,-0.3
40,43,43,35,44,0,23.6,100,-0.1
40,43,43,35,44,0,23.3,100,-0.1
40,43,43,35,44,0,22.8,100,-0.2
40,43,43,35,44,0,22.5,100,-0.1
40,42,43,35,44,13,22.5,100,-0.2
39,42,42,35,44,158,22.8,98,-0.2
39,42,42,35,44,199,23.6,93,-0.2
39,42,42,36,44,635,26.8,83,-0.1
39,42,42,36,44,684,27.4,75,-0.2
39,42,42,36,43,773,28,69,-0.1
39,42,42,36,43,160,26.4,67,-0.1
39,42,42,36,43,31,24.1,69,-0.1
39,42,42,36,43,0,20.4,89,-0.1
39,42,42,36,43,0,18.9,99,-0.1
39,42,42,36,43,0,18.4,100,-0.1
39,42,42,36,44,0,17.6,100,-0.1
39,42,42,36,44,0,17.2,100,-0.1
40,42,42,36,44,0,16.5,100,-0.1
40,42,42,36,44,0,15.9,100,-0.1
39,42,42,36,44,149,16.9,100,-0.1
39,41,42,36,44,636,25.6,92,-0.1
39,41,41,36,43,690,27.1,64,-0.2
39,41,41,36,43,216,25.3,72,-0.1
39,42,42,36,44,0,19.6,87,-0.1
39,42,42,36,44,0,19.7,97,-0.1
39,42,42,36,44,0,20.1,100,-0.1
39,42,42,36,44,0,19.4,100,-0.1
39,42,42,36,44,0,18.9,100,-0.1
39,42,42,36,44,119,18.8,100,-0.1
39,41,42,36,44,339,23.7,88,-0.2
39,41,41,36,44,295,25.1,72,-0.1
39,42,42,36,44,43,23.5,72,-0.1
39,42,42,36,44,0,19.6,91,-0.1
39,42,42,36,44,0,19.3,93,-0.1
39,42,42,36,44,0,19.2,95,-0.1
39,42,42,36,44,0,19.3,91,-0.1
39,42,42,36,44,0,18.8,89,-0.1
39,42,42,36,44,0,18.3,85,-0.1
39,42,42,36,44,0,17.6,84,-0.1
39,42,42,36,44,7,17.1,83,-0.1
39,42,42,36,44,230,18.6,84,-0.1
39,41,41,36,44,474,19.9,77,-0.1
39,41,41,36,44,553,21,70,-0.1
39,41,41,36,44,388,21.7,63,-0.1
39,42,42,36,44,39,19.3,67,-0.1
39,42,42,36,44,1,17.1,77,-0.1
39,42,42,36,44,0,15.6,87,-0.1
39,42,42,36,44,0,14.5,93,-0.1
39,42,42,36,44,0,13.9,99,-0.1
39,42,42,36,44,0,14.4,100,-0.1
39,42,42,36,44,0,14.6,98,-0.1
39,42,42,36,44,12,14.6,100,-0.1
