WL1(mm),WL2(mm),WL3(mm),WL4 (mm),WL5 (mm),PD (mm),Solar (W/m2),Precipitation (mm),WindSpeed (m/s),AirTemp (DegC),RH (%),,
53,208,85,36,44,71.4 ,21,0.000,0.51,24.8,80,,
52,208,85,36,44,71.4 ,0,0.000,0.38,24.1,84,,
52,208,87,36,44,71.4 ,0,0.000,0.37,23.4,87,,
56,208,85,36,44,71.4 ,0,0.000,0.38,23.0,89,,
51,208,86,36,44,71.4 ,0,0.000,0.33,22.7,92,,
53,208,86,36,44,71.4 ,0,0.000,0.32,22.6,93,,
55,209,85,36,44,71.4 ,0,0.000,0.40,22.5,93,,
56,207,88,36,44,71.4 ,0,0.000,0.51,22.3,92,,
54,207,87,36,44,71.4 ,0,0.000,0.36,22.1,94,,
54,208,85,36,44,71.4 ,0,0.000,0.38,22.0,96,,
53,208,87,36,44,71.3 ,0,0.000,0.37,21.9,97,,
51,208,87,36,44,71.4 ,0,0.000,0.35,21.9,97,,
54,209,87,36,49,71.5 ,4,0.494,0.43,21.8,98,,
54,209,87,36,50,71.5 ,18,0.511,0.51,21.6,100,,
55,208,88,36,49,71.5 ,46,0.323,0.50,21.7,100,,
56,63,93,36,51,71.5 ,85,0.306,0.56,21.9,100,,
59,62,93,36,50,71.4 ,113,0.272,0.73,22.3,100,,
61,63,94,36,50,71.5 ,32,0.272,0.87,22.2,100,,
63,65,95,36,56,71.5 ,19,0.289,1.02,22.1,100,,
61,63,95,36,57,71.5 ,47,0.289,1.10,22.1,100,,
60,61,93,36,56,71.4 ,152,0.289,1.11,22.8,100,,
58,60,91,36,51,71.3 ,141,0.272,0.98,23.3,100,,
57,61,91,36,48,71.2 ,123,0.238,0.93,23.6,99,,
55,60,92,36,45,71.0 ,42,0.255,1.02,23.7,97,,
56,59,91,36,45,71.0 ,7,0.340,0.83,23.3,100,,
57,59,91,36,44,70.9 ,0,0.443,0.99,23.1,100,,
54,58,91,36,44,70.8 ,0,0.545,1.15,23.0,100,,
53,59,91,36,44,70.8 ,0,0.511,1.22,23.0,100,,
54,60,91,36,44,70.7 ,0,0.443,1.14,22.9,100,,
54,60,90,36,44,70.7 ,0,0.374,1.25,22.9,100,,
56,60,91,36,44,70.7 ,0,0.528,1.22,22.8,100,,
52,60,90,36,44,70.6 ,0,0.936,1.19,22.7,99,,
54,61,90,36,44,70.6 ,0,0.340,1.11,22.6,100,,
54,61,90,36,44,70.5 ,0,0.017,1.16,22.4,100,,
56,60,90,36,44,70.5 ,0,0.000,0.99,22.4,100,,
53,61,90,36,44,70.4 ,0,0.017,1.12,22.2,100,,
57,62,90,36,44,70.4 ,8,0.017,1.17,22.2,100,,
57,62,90,36,44,70.4 ,26,0.017,1.01,22.4,100,,
54,60,90,36,44,70.3 ,44,0.017,0.95,22.8,100,,
55,61,90,36,44,70.4 ,103,0.443,1.04,23.1,100,,
54,62,90,36,44,70.4 ,144,0.000,1.03,23.7,100,,
53,60,90,36,44,70.3 ,294,0.000,0.92,24.3,100,,
52,60,89,36,44,70.3 ,455,0.000,0.91,25.2,97,,
51,60,89,36,44,70.3 ,400,0.000,1.00,26.7,88,,
54,60,89,36,44,70.3 ,242,0.000,0.76,26.4,91,,
54,60,88,36,44,70.3 ,196,0.000,1.26,26.6,88,,
56,60,89,36,44,70.3 ,71,0.000,1.29,26.0,87,,
55,59,88,36,44,70.3 ,43,0.051,0.76,24.6,94,,
55,59,88,36,44,70.2 ,39,0.085,0.80,24.6,95,,
53,59,88,36,44,70.2 ,1,0.051,0.82,24.1,95,,
53,59,88,36,44,70.2 ,0,0.051,0.71,23.4,97,,
56,60,89,36,44,70.1 ,0,0.017,0.86,22.8,98,,
52,60,88,36,44,70.2 ,0,0.000,0.50,21.8,100,,
51,59,88,36,44,70.1 ,0,0.000,0.65,21.3,100,,
52,60,88,36,44,70.1 ,0,0.000,0.66,21.0,100,,
53,59,88,36,44,70.1 ,0,0.000,0.71,21.0,99,,
51,60,88,36,44,70.1 ,0,0.000,0.93,21.0,100,,
50,60,88,36,44,70.1 ,0,0.000,1.07,21.1,100,,
52,61,87,36,44,70.1 ,0,0.000,1.09,21.2,100,,
53,62,88,36,44,70.0 ,0,0.017,1.05,21.2,100,,
54,63,88,36,44,70.0 ,4,0.017,1.13,21.4,100,,
53,61,87,36,44,70.0 ,11,0.102,1.11,21.5,100,,
59,64,92,36,44,69.9 ,31,0.034,1.04,21.7,100,,
57,61,89,36,45,70.0 ,80,0.000,1.22,22.1,100,,
53,62,89,36,44,70.0 ,127,0.000,1.01,22.9,100,,
54,60,88,36,44,70.0 ,101,0.136,1.01,23.0,100,,
55,59,83,36,44,70.1 ,135,0.170,1.08,23.2,99,,
52,61,83,36,44,69.9 ,111,0.034,1.39,23.3,96,,
53,61,83,36,44,70.0 ,105,0.000,1.91,23.4,93,,
52,60,83,36,44,70.0 ,110,0.000,1.39,23.3,93,,
55,60,82,36,44,70.0 ,77,0.000,1.96,23.4,88,,
53,60,80,36,44,69.9 ,56,0.000,1.28,23.2,86,,
53,60,82,36,44,69.9 ,9,0.000,1.13,22.6,89,,
53,60,82,36,44,69.9 ,0,0.000,0.58,21.6,94,,
54,58,82,36,44,69.9 ,0,0.000,0.48,20.9,98,,
53,59,82,36,44,69.9 ,0,0.000,0.55,20.1,100,,
51,60,82,36,44,69.8 ,0,0.000,0.55,19.5,100,,
54,61,82,36,44,69.8 ,0,0.000,0.65,19.2,100,,
54,59,82,36,44,69.8 ,0,0.000,0.68,18.9,100,,
53,60,82,36,44,69.8 ,0,0.000,0.72,18.4,99,,
57,61,83,36,44,69.8 ,0,0.000,0.70,17.9,100,,
56,61,83,36,44,69.8 ,0,0.017,0.73,17.5,100,,
51,60,83,36,44,69.8 ,0,0.000,0.81,17.5,100,,
51,61,83,36,44,69.8 ,0,0.000,0.87,17.4,100,,
53,63,83,36,44,69.8 ,28,0.017,0.85,17.1,100,,
54,61,83,36,44,69.8 ,236,0.017,0.96,17.7,100,,
51,61,82,36,44,69.8 ,435,0.068,0.96,20.3,100,,
51,63,83,36,44,69.7 ,625,0.034,0.93,23.6,91,,
52,61,84,36,44,69.7 ,787,0.000,1.02,25.8,78,,
52,62,84,36,44,69.7 ,672,0.000,0.74,26.9,68,,
50,62,84,36,44,69.6 ,928,0.000,1.01,27.6,61,,
51,61,83,36,44,69.5 ,850,0.000,1.06,28.9,55,,
53,61,88,37,43,69.5 ,711,0.000,1.58,29.1,52,,
52,61,89,37,43,69.5 ,615,0.000,1.54,29.1,53,,
53,61,89,37,43,69.5 ,420,0.000,1.42,28.5,54,,
53,60,89,36,43,69.6 ,131,0.000,1.15,27.5,58,,
51,60,89,36,43,69.6 ,28,0.000,0.56,25.7,63,,
52,60,89,36,43,69.6 ,0,0.000,0.25,22.3,76,,
51,61,89,36,44,69.5 ,0,0.000,0.22,19.8,89,,
52,62,89,36,44,69.6 ,0,0.000,0.20,18.7,93,,
51,59,90,36,44,69.6 ,0,0.000,0.14,17.7,96,,
52,61,89,36,44,69.6 ,0,0.000,0.14,17.0,98,,
53,61,91,36,44,69.6 ,0,0.000,0.13,16.6,99,,
53,62,92,36,44,69.6 ,0,0.000,0.14,16.1,99,,
56,62,92,36,44,69.7 ,0,0.000,0.14,15.5,100,,
55,63,92,36,44,69.7 ,0,0.000,0.13,15.3,100,,
55,62,91,36,44,69.7 ,0,0.017,0.22,15.1,100,,
58,65,91,36,44,69.7 ,1,0.034,0.14,14.9,100,,
56,63,92,36,44,69.7 ,58,0.017,0.20,15.1,100,,
56,64,91,36,44,69.7 ,134,0.000,0.36,16.5,100,,
55,63,91,36,44,69.8 ,214,0.000,0.56,18.4,100,,
54,63,92,36,44,69.7 ,336,0.000,0.51,20.8,91,,
85,59,80,36,44,69.9 ,472,0.000,0.76,23.1,85,,
38,64,92,36,43,69.7 ,726,0.000,0.95,25.7,76,,
38,63,93,36,43,69.6 ,663,0.000,1.13,26.7,68,,
37,65,92,37,43,69.5 ,855,0.000,1.09,28.0,60,,
37,64,92,37,43,69.4 ,565,0.000,1.15,28.1,57,,
37,63,93,37,43,69.3 ,389,0.000,0.87,27.6,64,,
37,63,93,37,43,69.3 ,266,0.000,0.71,27.6,66,,
37,63,91,36,43,69.2 ,125,0.000,0.50,27.2,71,,
38,64,93,36,43,69.1 ,27,0.000,0.40,25.1,80,,
38,63,93,36,43,69.1 ,0,0.000,0.23,22.5,89,,
38,67,92,36,43,69.0 ,0,0.000,0.16,20.9,94,,
38,62,94,36,43,68.9 ,0,0.000,0.16,20.0,97,,
38,64,94,36,43,68.9 ,0,0.000,0.15,19.9,98,,
38,65,94,36,43,68.8 ,0,0.000,0.16,19.7,100,,
38,64,94,36,43,68.8 ,0,0.000,0.18,19.4,100,,
38,65,92,36,43,68.7 ,0,0.000,0.22,19.2,99,,
38,66,92,36,43,68.7 ,0,0.000,0.20,18.9,100,,
38,66,93,36,43,68.6 ,0,0.000,0.20,18.8,100,,
38,67,95,36,43,68.6 ,0,0.000,0.23,18.6,100,,
38,66,92,36,43,68.6 ,0,0.000,0.25,18.4,100,,
38,64,92,36,43,68.5 ,21,0.000,0.28,18.4,100,,
38,68,96,36,43,68.6 ,104,0.000,0.57,19.2,100,,
38,67,97,36,43,68.6 ,168,0.000,0.75,20.9,98,,
38,66,97,36,43,68.6 ,189,0.000,0.77,22.1,92,,
38,68,97,36,43,68.6 ,169,0.000,0.66,23.3,87,,
38,69,97,36,43,68.6 ,183,0.000,0.53,23.5,86,,
38,69,97,36,43,68.6 ,185,0.000,0.45,23.8,86,,
38,69,97,36,43,68.6 ,119,0.000,0.40,23.9,87,,
38,67,98,36,43,68.6 ,60,0.000,0.34,23.3,92,,
38,69,99,36,43,68.6 ,60,0.119,0.56,22.6,99,,
38,69,99,36,43,68.6 ,39,0.238,0.71,22.2,100,,
38,68,99,36,43,68.7 ,27,0.051,0.57,22.0,100,,
38,69,102,36,43,68.7 ,9,0.017,0.53,21.6,100,,
38,68,103,36,43,68.8 ,0,0.017,0.86,20.0,100,,
38,68,102,36,43,68.8 ,0,0.000,0.65,19.4,100,,
38,70,103,36,43,68.9 ,0,0.017,0.82,19.0,100,,
38,72,103,36,43,68.9 ,0,0.017,0.68,18.8,100,,
38,70,104,36,44,68.9 ,0,0.000,0.48,18.7,100,,
38,71,107,36,44,68.9 ,0,0.017,0.59,18.6,100,,
38,71,102,36,43,69.0 ,0,0.000,0.60,18.7,99,,
38,73,102,36,43,69.0 ,0,0.000,0.58,18.7,100,,
38,74,105,36,43,69.0 ,0,0.017,0.73,18.8,100,,
38,75,106,36,43,69.0 ,0,0.000,0.95,18.8,100,,
38,73,105,36,43,69.0 ,0,0.017,0.89,18.9,100,,
38,72,104,36,44,69.1 ,8,0.000,0.94,19.0,100,,
38,74,106,36,43,69.2 ,34,0.017,0.92,19.3,100,,
41,77,117,36,43,70.2 ,27,0.000,1.10,19.6,100,,
40,76,115,36,44,70.4 ,40,0.017,1.16,19.8,100,,
39,77,116,36,44,70.6 ,32,0.000,1.19,20.0,100,,
39,72,118,36,46,70.8 ,34,0.017,1.02,19.8,100,,
39,75,116,36,48,70.8 ,80,0.000,1.01,19.8,100,,
39,70,114,36,45,70.6 ,107,0.017,1.05,20.4,100,,
39,72,113,36,44,70.5 ,122,0.017,1.07,20.7,100,,
39,71,111,36,44,70.4 ,74,0.000,0.95,21.0,100,,
39,74,115,36,44,70.4 ,37,0.017,0.93,21.1,100,,
39,71,113,36,44,70.3 ,19,0.017,0.96,21.0,100,,
39,70,114,36,44,70.3 ,2,0.000,1.02,20.7,100,,
39,73,110,36,44,70.3 ,0,0.017,1.03,20.6,100,,
38,72,112,36,44,70.3 ,0,0.000,0.97,20.4,100,,
39,73,114,36,44,70.4 ,0,0.017,1.06,20.2,100,,
39,73,115,36,44,70.5 ,0,0.000,1.20,20.2,100,,
38,70,114,36,44,70.4 ,0,0.017,1.17,20.2,100,,
38,73,112,36,44,70.4 ,0,0.017,1.07,20.2,100,,
39,71,113,36,44,70.4 ,0,0.000,1.09,20.3,99,,
39,73,113,36,44,70.3 ,0,0.017,1.15,20.3,100,,
38,75,111,36,44,70.2 ,0,0.000,1.21,20.4,100,,
38,73,110,36,44,70.2 ,0,0.017,1.18,20.4,100,,
45,81,122,36,44,73.1 ,0,0.017,1.19,20.4,100,,
90,115,113,-5,96,73.5 ,0,0.119,1.55,20.1,100,,
101,111,96,-1,94,73.8 ,1,0.034,1.42,20.1,100,,
81,96,89,-6,113,73.7 ,6,0.017,1.41,20.2,100,,
79,75,111,3,96,73.0 ,24,0.000,1.37,20.4,100,,
74,78,118,7,85,73.0 ,54,0.034,1.48,20.7,100,,
64,69,96,14,71,72.2 ,165,0.051,1.40,21.0,100,,
44,54,81,27,48,71.5 ,195,0.051,1.29,21.6,100,,
39,49,65,32,43,71.1 ,251,0.102,1.14,22.0,100,,
39,48,59,34,43,70.7 ,241,0.272,1.46,23.4,100,,
39,47,52,35,43,70.4 ,142,1.260,1.67,23.8,100,,
39,46,50,35,43,70.2 ,102,1.532,1.53,23.8,100,,
39,46,49,35,43,70.0 ,31,1.634,1.65,23.3,100,,
39,46,48,35,43,69.8 ,8,1.566,1.71,23.1,100,,
39,45,46,35,43,69.6 ,0,1.396,1.71,22.7,100,,
39,45,46,36,43,69.5 ,0,1.226,1.73,22.5,100,,
39,45,46,36,43,69.4 ,0,1.123,1.74,22.5,100,,
39,45,45,36,43,69.3 ,0,0.987,1.84,22.4,100,,
39,45,45,36,43,69.5 ,0,0.783,1.99,22.3,100,,
39,45,46,36,43,69.4 ,0,0.698,2.21,22.2,100,,
39,45,45,36,43,69.3 ,0,0.562,2.02,22.1,99,,
39,45,56,36,43,69.8 ,0,0.443,2.33,22.0,100,,
39,45,49,36,43,69.6 ,0,0.409,1.92,21.9,100,,
39,45,47,36,43,69.5 ,0,0.340,2.05,22.0,100,,
39,45,46,36,43,69.3 ,0,0.289,1.95,22.0,100,,
39,45,45,36,43,69.2 ,8,0.255,2.05,22.0,100,,
39,45,45,36,43,69.1 ,21,0.221,2.07,22.3,100,,
39,45,44,36,43,69.0 ,56,0.187,2.20,22.6,100,,
39,45,44,36,43,69.0 ,58,0.170,2.23,23.0,100,,
39,45,44,36,43,68.9 ,63,0.136,2.40,23.2,100,,
39,45,44,36,43,68.9 ,87,0.119,2.59,23.4,100,,
39,45,44,36,43,68.7 ,113,0.085,2.70,23.7,100,,
39,44,43,36,43,68.7 ,120,0.068,2.59,24.1,100,,
39,44,43,36,43,68.5 ,119,0.051,2.47,24.5,100,,
39,44,43,36,43,68.5 ,70,0.051,1.90,24.6,100,,
39,44,43,36,43,68.4 ,68,0.034,1.67,24.6,100,,
39,44,43,36,43,68.4 ,40,0.051,1.63,24.7,100,,
39,44,43,36,43,68.3 ,13,0.017,1.51,24.6,100,,
121,132,154,-1,90,72.6 ,0,0.187,1.40,24.1,100,,
58,67,109,15,53,71.8 ,0,0.017,1.24,23.8,100,,
38,51,76,29,44,71.2 ,0,0.000,1.15,23.7,100,,
38,46,58,33,44,70.8 ,0,0.017,1.21,23.4,100,,
38,45,50,34,44,70.5 ,0,0.000,1.18,23.0,100,,
38,45,48,34,44,70.2 ,0,0.017,1.20,22.9,100,,
38,45,46,35,44,70.0 ,0,0.000,1.22,22.8,99,,
38,45,45,35,44,69.8 ,0,0.017,1.25,22.8,100,,
38,45,44,35,44,69.6 ,0,0.000,1.31,22.8,100,,
38,45,44,35,44,69.5 ,0,0.000,1.22,22.8,100,,
37,44,44,35,44,69.4 ,0,0.017,1.35,22.8,100,,
37,44,43,35,44,69.2 ,13,0.000,1.29,22.9,100,,
37,44,43,35,44,69.1 ,51,0.017,1.30,23.4,100,,
37,44,42,35,44,69.0 ,83,0.000,1.24,24.0,100,,
37,44,42,35,44,68.9 ,196,0.017,1.21,24.7,100,,
37,44,41,35,44,68.8 ,474,0.000,1.07,25.9,100,,
37,44,41,35,44,68.6 ,615,0.017,1.30,27.4,95,,
37,44,41,35,44,68.5 ,484,0.000,1.56,28.1,91,,
37,44,41,35,44,68.4 ,366,0.017,1.58,28.5,87,,
37,44,41,36,44,68.3 ,440,0.000,1.61,28.4,87,,
37,43,40,36,43,68.2 ,390,0.000,1.48,28.5,84,,
37,44,40,36,43,68.2 ,112,0.017,1.40,27.7,84,,
37,44,40,36,43,68.1 ,75,0.000,1.03,27.2,87,,
37,44,40,36,43,68.0 ,15,0.017,0.83,25.8,94,,
37,44,40,36,43,67.9 ,0,0.000,0.75,24.6,99,,
37,44,40,36,43,67.9 ,0,0.000,0.91,24.0,100,,
37,44,40,36,43,67.8 ,0,0.017,0.91,23.5,100,,
37,44,40,36,43,67.7 ,0,0.000,0.97,23.1,100,,
37,44,40,36,43,67.6 ,0,0.017,1.00,22.8,100,,
37,44,40,36,43,67.5 ,0,0.000,1.02,22.7,100,,
37,44,40,35,43,67.5 ,0,0.000,1.09,22.4,99,,
37,44,40,36,43,67.4 ,0,0.017,1.12,22.1,100,,
37,44,40,36,43,67.3 ,0,0.000,1.09,22.0,100,,
37,44,40,36,43,67.2 ,0,0.017,1.09,21.7,100,,
37,44,40,36,43,67.1 ,0,0.000,1.15,21.9,100,,
37,44,40,36,43,67.1 ,13,0.000,1.23,22.3,100,,
37,43,40,36,43,67.0 ,130,0.017,1.47,23.9,100,,
37,43,40,36,43,66.9 ,116,0.000,1.19,25.1,100,,
37,43,40,36,43,66.9 ,223,0.017,0.97,25.8,98,,
37,43,40,36,43,66.8 ,188,0.000,0.94,26.5,96,,
37,43,40,36,43,66.7 ,341,0.017,1.00,27.1,95,,
37,43,40,36,43,66.7 ,423,0.000,0.97,28.5,89,,
37,43,40,36,43,66.6 ,281,0.000,0.85,28.8,87,,
37,43,40,36,43,66.5 ,282,0.017,0.75,28.9,87,,
37,43,40,36,43,66.4 ,214,0.000,1.00,28.9,86,,
37,43,40,36,43,66.3 ,98,0.017,1.60,28.3,81,,
37,43,40,36,43,66.3 ,38,0.000,1.46,27.6,82,,
37,43,40,36,43,66.2 ,5,0.017,0.69,27.0,85,,
37,43,40,36,43,66.2 ,0,0.000,0.55,26.5,88,,
37,43,40,36,43,66.1 ,0,0.000,0.47,26.1,91,,
37,43,40,36,43,66.2 ,0,0.017,0.60,26.2,89,,
37,43,40,36,43,66.2 ,0,0.000,0.70,25.4,93,,
37,43,40,36,43,66.5 ,0,0.000,0.56,24.8,98,,
37,43,40,36,43,66.5 ,0,0.017,0.53,24.4,100,,
37,43,40,36,43,66.6 ,0,0.000,0.73,24.6,99,,
37,43,40,36,43,66.6 ,0,0.017,0.90,24.8,100,,
37,43,40,36,43,66.4 ,0,0.000,1.00,25.0,99,,
37,43,44,36,43,66.8 ,0,0.000,2.87,25.1,96,,
37,43,43,36,43,66.9 ,0,0.000,3.50,25.3,96,,
37,43,42,36,43,66.9 ,3,0.000,4.14,26.1,94,,
37,44,46,36,43,67.1 ,21,0.000,2.58,25.3,98,,
37,44,46,36,43,67.2 ,33,0.000,1.63,25.2,100,,
37,44,46,36,43,67.4 ,49,0.000,1.75,24.6,100,,
37,44,44,36,43,67.4 ,85,0.000,1.64,25.2,100,,
37,44,43,36,43,67.3 ,94,0.000,1.93,25.7,99,,
37,44,43,36,43,67.3 ,90,0.000,2.93,26.2,91,,
37,44,42,36,43,67.2 ,76,0.000,2.74,26.0,89,,
37,44,42,36,43,67.2 ,109,0.017,2.38,25.8,90,,
37,44,42,36,43,67.0 ,153,0.000,2.80,26.2,88,,
37,44,41,36,43,67.0 ,131,0.000,2.64,26.1,88,,
37,44,41,36,43,66.8 ,37,0.017,2.20,25.8,88,,
37,44,41,36,43,66.8 ,12,0.000,2.35,25.6,89,,
37,44,41,36,43,66.7 ,0,0.000,2.05,25.2,90,,
37,44,41,36,43,66.7 ,0,0.017,1.34,24.7,91,,
37,44,40,36,43,66.6 ,0,0.000,1.32,23.7,96,,
37,44,40,36,43,66.6 ,0,0.000,1.14,23.3,98,,
37,44,40,36,43,66.5 ,0,0.017,0.75,23.0,99,,
37,44,40,36,43,66.4 ,0,0.000,0.60,22.5,99,,
37,44,40,36,43,66.4 ,0,0.000,0.80,22.1,99,,
37,44,40,36,43,66.3 ,0,0.017,0.82,21.8,100,,
37,44,40,36,43,66.2 ,0,0.000,0.76,21.1,100,,
37,44,40,36,43,66.2 ,0,0.000,0.93,21.1,100,,
37,44,40,36,43,66.1 ,0,0.017,0.96,21.3,100,,
37,44,40,36,43,66.1 ,10,0.000,1.06,21.5,100,,
37,44,40,36,43,66.0 ,65,0.000,1.09,22.0,100,,
37,43,40,36,43,66.0 ,195,0.017,1.03,23.0,100,,
37,43,40,36,43,65.9 ,326,0.000,0.98,24.5,99,,
37,43,40,36,43,65.9 ,344,0.017,1.13,25.9,93,,
37,43,40,36,43,65.9 ,366,0.000,0.94,26.2,89,,
37,43,40,36,43,65.7 ,535,0.000,0.87,27.5,84,,
37,43,40,36,43,65.8 ,412,0.017,0.92,27.8,81,,
37,43,40,36,43,65.6 ,397,0.000,0.97,28.4,77,,
37,43,40,36,43,65.6 ,179,0.000,0.79,28.1,81,,
37,43,40,36,43,65.5 ,114,0.017,0.88,27.4,85,,
37,43,40,36,43,65.5 ,48,0.000,1.04,26.5,86,,
37,43,40,36,43,65.5 ,7,0.000,0.61,25.5,92,,
37,43,40,36,43,65.5 ,0,0.017,0.47,24.7,97,,
37,43,40,36,43,65.4 ,0,0.000,0.46,24.4,99,,
37,43,40,36,43,65.4 ,0,0.000,0.48,24.1,100,,
37,43,40,36,43,65.4 ,0,0.017,0.48,23.9,100,,
37,43,40,36,43,65.3 ,0,0.000,0.50,23.8,100,,
37,43,40,36,43,65.3 ,0,0.000,0.81,23.8,100,,
37,43,40,36,43,65.3 ,0,0.017,0.93,23.7,99,,
37,43,40,36,43,65.2 ,0,0.000,0.99,23.6,100,,
37,43,40,36,43,65.2 ,0,0.000,1.11,23.4,100,,
37,43,40,36,43,65.1 ,0,0.017,1.13,23.1,100,,
37,43,40,36,43,65.1 ,0,0.000,1.13,22.8,100,,
37,43,40,36,43,65.1 ,11,0.000,1.18,22.9,100,,
37,43,40,36,43,65.0 ,72,0.017,1.36,23.4,100,,
37,43,40,36,43,65.0 ,211,0.000,1.32,25.0,100,,
37,43,40,36,43,65.0 ,334,0.000,0.99,26.7,95,,
37,43,40,36,43,64.9 ,275,0.017,0.92,27.3,90,,
37,43,40,37,43,64.9 ,504,0.000,0.99,28.5,87,,
37,43,40,37,43,64.7 ,419,0.000,0.89,29.4,83,,
37,43,40,37,43,64.7 ,375,0.017,0.85,29.0,84,,
37,43,40,37,43,64.7 ,206,0.000,1.23,29.2,81,,
37,43,40,37,43,64.6 ,113,0.000,0.64,28.5,86,,
37,43,40,37,43,64.6 ,84,0.017,1.23,27.2,89,,
37,43,40,37,43,64.6 ,54,0.000,0.58,26.5,94,,
37,43,40,37,43,64.6 ,5,0.000,0.49,25.9,97,,
37,43,40,37,43,64.5 ,0,0.017,0.54,25.4,100,,
37,43,40,37,43,64.5 ,0,0.000,0.87,26.0,96,,
37,43,40,37,43,64.5 ,0,0.000,0.70,26.1,94,,
37,43,40,36,43,64.5 ,0,0.017,0.65,25.3,98,,
37,43,40,36,43,64.5 ,0,0.000,0.46,24.8,100,,
37,43,40,36,43,64.4 ,0,0.000,0.49,24.3,100,,
37,43,40,36,43,64.4 ,0,0.017,0.65,23.5,99,,
37,43,40,36,43,64.4 ,0,0.000,0.81,24.0,100,,
37,43,40,36,43,64.3 ,0,0.000,0.92,23.7,100,,
37,43,40,36,43,64.3 ,0,0.000,1.14,23.3,100,,
37,43,40,36,43,64.3 ,0,0.017,1.09,23.3,100,,
37,43,40,36,43,64.3 ,28,0.000,1.07,23.0,100,,
37,43,40,36,43,64.3 ,167,0.000,1.35,24.8,100,,
37,43,40,37,43,64.2 ,324,0.017,1.21,26.4,98,,
37,43,40,37,43,64.2 ,519,0.000,0.96,27.6,90,,
37,43,40,37,43,64.1 ,640,0.017,1.39,28.4,82,,
37,43,40,37,43,64.0 ,412,0.000,1.11,28.4,77,,
37,43,40,37,43,63.9 ,383,0.000,0.92,28.3,77,,
37,43,40,37,43,63.9 ,398,0.000,0.94,28.3,76,,
37,43,40,37,43,63.8 ,525,0.017,1.10,28.9,74,,
37,43,40,37,43,63.7 ,471,0.000,1.25,29.3,70,,
37,43,40,37,43,63.7 ,318,0.000,1.25,29.0,70,,
37,43,40,37,43,63.7 ,89,0.000,1.33,27.9,77,,
37,43,42,37,43,63.6 ,12,0.017,0.77,26.3,86,,
37,43,42,37,43,63.6 ,0,0.000,0.47,24.8,94,,
37,43,42,37,43,63.6 ,0,0.000,0.47,24.1,97,,
37,43,42,37,43,63.5 ,0,0.000,0.41,23.5,99,,
37,43,42,37,43,63.5 ,0,0.017,0.46,23.4,100,,
37,43,42,37,43,63.5 ,0,0.000,0.50,23.4,100,,
37,43,42,37,43,63.5 ,0,0.000,0.47,23.2,100,,
37,43,42,37,43,63.4 ,0,0.017,0.48,22.9,99,,
37,43,42,37,43,63.4 ,0,0.000,0.60,23.0,100,,
37,43,42,37,43,63.4 ,0,0.000,0.75,22.8,100,,
37,43,42,37,43,63.4 ,0,0.000,0.94,22.4,100,,
37,43,43,37,43,63.3 ,0,0.017,1.02,22.4,100,,
37,43,43,37,43,63.3 ,12,0.000,1.12,22.6,100,,
37,43,43,37,43,63.4 ,37,0.000,1.03,23.0,100,,
37,43,43,37,43,63.4 ,182,0.000,1.08,23.4,100,,
37,43,43,37,43,63.3 ,455,0.017,1.19,25.6,98,,
37,43,43,37,43,63.3 ,588,0.000,1.10,28.1,85,,
37,43,43,37,43,63.2 ,360,0.000,0.78,27.8,85,,
37,43,43,37,43,63.2 ,422,0.000,1.24,28.3,82,,
37,43,43,37,43,63.0 ,309,0.017,1.13,28.6,81,,
37,43,43,37,43,62.9 ,198,0.000,0.80,28.4,83,,
37,43,43,37,43,62.7 ,501,0.000,1.23,29.1,82,,
37,43,43,37,43,62.7 ,267,0.000,1.19,28.6,82,,
37,43,43,37,43,62.7 ,64,0.017,1.05,27.3,84,,
37,43,43,37,43,62.7 ,6,0.000,0.63,26.2,91,,
37,43,43,37,43,62.7 ,0,0.000,0.78,25.3,95,,
37,43,43,37,43,62.8 ,0,0.000,0.48,24.5,99,,
37,47,47,37,43,63.5 ,0,0.017,0.41,23.4,100,,
37,44,45,37,43,63.8 ,0,0.000,0.34,22.7,100,,
37,44,44,37,43,64.0 ,0,0.000,0.36,22.1,100,,
